"seed","sample_size","p","q","rank","sigma","cov_scale","lambda_factor","lambda","lipschitz","iter","converged","hit_maxit","final_objective","final_rel_objective_change","final_step_frob","final_rel_step_frob","final_truth_frob","final_rank_truncated_truth_frob","rank_1e8","rank_1e4","minimax_rate_standard","ratio_standard","rank_truncated_ratio_standard","minimax_rate_covscale_adjusted","ratio_covscale_adjusted","rank_truncated_ratio_covscale_adjusted","scaledgd_reference_frob","ratio_to_scaledgd_reference","rank_truncated_ratio_to_scaledgd_reference","seed_best_full_frob","seed_best_rank_frob","full_within_5pct_seed_best","full_within_10pct_seed_best","rank_within_5pct_seed_best","rank_within_10pct_seed_best"
20260504,500,30,25,2,0.5,0.2,0.075,0.0124373429638327,6.2723230225306,164,TRUE,FALSE,0.177134891124146,9.60627659545829e-09,0.00490018349848426,0.00110541835583549,5.33765015674693,5.20775046943354,7,7,0.234520787991171,22.7598167414816,22.20592261369,1.17260393995586,4.55196334829632,4.44118452273799,3.91088544508124,1.36481884516974,1.33160394047936,4.93358622662753,4.35109081491409,FALSE,TRUE,FALSE,FALSE
20260504,500,30,25,2,0.5,0.2,0.1,0.016583123951777,6.2723230225306,132,TRUE,FALSE,0.200635207622635,6.61747508421506e-09,0.00533120433621081,0.00133443523439429,5.64691301368937,5.55457775751682,5,5,0.234520787991171,24.0785179943279,23.6847991391105,1.17260393995586,4.81570359886557,4.7369598278221,3.91088544508124,1.44389629739515,1.42028648895939,4.93358622662753,4.35109081491409,FALSE,FALSE,FALSE,FALSE
20260504,500,30,25,2,0.5,0.2,0.15,0.0248746859276655,6.2723230225306,166,TRUE,FALSE,0.238202607349488,9.93018134659851e-09,0.00281377426842287,0.000831194493873783,6.1671317830273,6.11334655091899,5,5,0.234520787991171,26.2967382800175,26.0673972797206,1.17260393995586,5.2593476560035,5.21347945594412,3.91088544508124,1.57691445316655,1.56316175371688,4.93358622662753,4.35109081491409,FALSE,FALSE,FALSE,FALSE
20260504,500,30,25,2,0.5,0.2,0.2,0.033166247903554,6.2723230225306,140,TRUE,FALSE,0.267997404004188,3.77966026994863e-09,0.00251627313676245,0.000818953998695561,6.41131353687299,6.38406116082455,4,4,0.234520787991171,27.3379327768349,27.2217282549165,1.17260393995586,5.46758655536697,5.44434565098329,3.91088544508124,1.63935089045796,1.632382551336,4.93358622662753,4.35109081491409,FALSE,FALSE,FALSE,FALSE
20260505,500,30,25,2,0.5,0.2,0.015,0.00248746859276655,5.75924634711983,1029,TRUE,FALSE,0.0835117745811027,9.71729270410080e-09,0.00137431330858487,0.000158910207565083,5.79018966420155,4.05518263075904,15,15,0.234520787991171,24.6894516848524,17.2913568366131,1.17260393995586,4.93789033697049,3.45827136732262,3.91088544508124,1.4805316457131,1.03689629566094,4.1971180196194,3.79028844392896,FALSE,FALSE,FALSE,TRUE
20260505,500,30,25,2,0.5,0.2,0.02,0.0033166247903554,5.75924634711983,758,TRUE,FALSE,0.0997389668273859,9.84404997182414e-09,0.00165119362251749,0.000211675681920156,4.98687820282034,3.85050291440817,14,14,0.234520787991171,21.2641201043895,16.4185995936237,1.17260393995586,4.25282402087791,3.28371991872475,3.91088544508124,1.2751276591577,0.984560393925878,4.1971180196194,3.79028844392896,FALSE,FALSE,TRUE,TRUE
20260505,500,30,25,2,0.5,0.2,0.025,0.00414578098794425,5.75924634711983,555,TRUE,FALSE,0.11324600027721,9.95200749574916e-09,0.00234460471983449,0.000321421833460758,4.57081314682341,3.81456321123468,13,13,0.234520787991171,19.4900127446078,16.2653521843798,1.17260393995586,3.89800254892157,3.25307043687597,3.91088544508124,1.16874125080093,0.975370735042187,4.1971180196194,3.79028844392896,FALSE,TRUE,TRUE,TRUE
20260505,500,30,25,2,0.5,0.2,0.03,0.0049749371855331,5.75924634711983,679,TRUE,FALSE,0.12486289630298,9.93523184409719e-09,0.00148660393591269,0.000213333250929665,4.31491370478615,3.79028844392896,13,13,0.234520787991171,18.398853857461,16.1618442288009,1.17260393995586,3.67977077149219,3.23236884576018,3.91088544508124,1.10330864081255,0.969163760267138,4.1971180196194,3.79028844392896,TRUE,TRUE,TRUE,TRUE
20260505,500,30,25,2,0.5,0.2,0.035,0.00580409338312195,5.75924634711983,585,TRUE,FALSE,0.13509113058044,9.63207411467223e-09,0.00167043605453422,0.000248474710124219,4.1971180196194,3.81599008732455,11,11,0.234520787991171,17.8965713682379,16.27143640447,1.17260393995586,3.57931427364759,3.25428728089401,3.91088544508124,1.07318868797299,0.975735582366381,4.1971180196194,3.79028844392896,TRUE,TRUE,TRUE,TRUE
20260505,500,30,25,2,0.5,0.2,0.04,0.0066332495807108,5.75924634711983,372,TRUE,FALSE,0.144386669489328,3.66006763988467e-09,0.00314458024018636,0.000485345928755402,4.20541881659183,3.91641812624493,10,10,0.234520787991171,17.9319660854548,16.6996630012703,1.17260393995586,3.58639321709097,3.33993260025406,3.91088544508124,1.07531117329991,1.00141468760499,4.1971180196194,3.79028844392896,TRUE,TRUE,TRUE,TRUE
20260505,500,30,25,2,0.5,0.2,0.045,0.00746240577829965,5.75924634711983,336,TRUE,FALSE,0.152959356939406,3.16130403578095e-09,0.00362808025550676,0.000575186033501079,4.20445447478453,3.97970336807016,9,9,0.234520787991171,17.9278541181723,16.9695121791079,1.17260393995586,3.58557082363445,3.39390243582158,3.91088544508124,1.07506459440598,1.0175965069689,4.1971180196194,3.79028844392896,TRUE,TRUE,TRUE,TRUE
20260505,500,30,25,2,0.5,0.2,0.05,0.0082915619758885,5.75924634711983,309,TRUE,FALSE,0.16097968740159,5.27376117171198e-09,0.00397519844802784,0.000644336799596169,4.21834641477187,4.03824892802413,9,9,0.234520787991171,17.9870895493097,17.2191512855404,1.17260393995586,3.59741790986193,3.44383025710808,3.91088544508124,1.07861671583281,1.03256640592812,4.1971180196194,3.79028844392896,TRUE,TRUE,FALSE,TRUE
20260505,500,30,25,2,0.5,0.2,0.06,0.0099498743710662,5.75924634711983,281,TRUE,FALSE,0.175726890273171,8.15351909984414e-09,0.00410292204124503,0.000691030900789951,4.28607156755232,4.16025845765924,8,8,0.234520787991171,18.2758705710714,17.7394016679487,1.17260393995586,3.65517411421428,3.54788033358974,3.91088544508124,1.09593380520592,1.06376382435124,4.1971180196194,3.79028844392896,TRUE,TRUE,FALSE,TRUE
20260505,500,30,25,2,0.5,0.2,0.075,0.0124373429638327,5.75924634711983,362,TRUE,FALSE,0.195592118852885,6.49488718528914e-09,0.00236735961061153,0.000413532436105705,4.35502010291973,4.27304095669303,6,6,0.234520787991171,18.5698681137114,18.2203078596763,1.17260393995586,3.71397362274228,3.64406157193527,3.91088544508124,1.11356370931219,1.0926019226841,4.1971180196194,3.79028844392896,TRUE,TRUE,FALSE,FALSE
20260505,500,30,25,2,0.5,0.2,0.1,0.016583123951777,5.75924634711983,132,TRUE,FALSE,0.225127838722083,7.72910798979695e-09,0.00898708016438213,0.00163885587821828,4.47829269576102,4.43372423759368,5,5,0.234520787991171,19.095504215727,18.9054636715641,1.17260393995586,3.81910084314539,3.78109273431282,3.91088544508124,1.14508408866678,1.13368808671449,4.1971180196194,3.79028844392896,FALSE,TRUE,FALSE,FALSE
20260505,500,30,25,2,0.5,0.2,0.15,0.0248746859276655,5.75924634711983,267,TRUE,FALSE,0.274947239057037,9.331147699907e-09,0.00258005824895818,0.000521898586131168,4.97424455055906,4.94140309624339,5,5,0.234520787991171,21.2102500301436,21.0702135984184,1.17260393995586,4.24205000602873,4.21404271968369,3.91088544508124,1.27189727758843,1.26349983031547,4.1971180196194,3.79028844392896,FALSE,FALSE,FALSE,FALSE
20260505,500,30,25,2,0.5,0.2,0.2,0.033166247903554,5.75924634711983,230,TRUE,FALSE,0.317486314842491,3.4448337303555e-09,0.00270786153003491,0.000586691503613976,5.25612955131265,5.22925056252381,3,3,0.234520787991171,22.412211711955,22.2975993186611,1.17260393995586,4.48244234239101,4.45951986373222,3.91088544508124,1.34397430585019,1.33710144057037,4.1971180196194,3.79028844392896,FALSE,FALSE,FALSE,FALSE
20260506,500,30,25,2,0.5,0.2,0.015,0.00248746859276655,5.91871938506223,1169,TRUE,FALSE,0.078828732971947,9.92659465255853e-09,0.00110674083770086,0.000133380533958702,5.86175210645704,4.44940993699863,15,15,0.234520787991171,24.994594963913,18.9723477185576,1.17260393995586,4.9989189927826,3.79446954371152,3.91088544508124,1.49882991684899,1.13769886627457,4.69127596508393,4.30875734862729,FALSE,FALSE,TRUE,TRUE
20260506,500,30,25,2,0.5,0.2,0.02,0.0033166247903554,5.91871938506223,897,TRUE,FALSE,0.0944623902929897,9.87084112402826e-09,0.00132283349556982,0.000173569314071845,5.27936431086228,4.30879111108469,14,14,0.234520787991171,22.5112850595616,18.3727470301988,1.17260393995586,4.50225701191233,3.67454940603977,3.91088544508124,1.34991535420762,1.10174311459414,4.69127596508393,4.30875734862729,FALSE,FALSE,TRUE,TRUE
20260506,500,30,25,2,0.5,0.2,0.025,0.00414578098794425,5.91871938506223,622,TRUE,FALSE,0.107822058916436,9.79119631001188e-09,0.00199539732486318,0.000279172703409329,4.97432511661881,4.30875734862729,14,14,0.234520787991171,21.2105935649767,18.3726030665968,1.17260393995586,4.24211871299535,3.67452061331936,3.91088544508124,1.2719178780537,1.10173448164954,4.69127596508393,4.30875734862729,FALSE,TRUE,TRUE,TRUE
20260506,500,30,25,2,0.5,0.2,0.03,0.0049749371855331,5.91871938506223,539,TRUE,FALSE,0.119511700742198,9.46466293579598e-09,0.00229911517984096,0.000337669533189458,4.80587347070197,4.33804352863736,12,12,0.234520787991171,20.4923133333617,18.4974797577461,1.17260393995586,4.09846266667234,3.69949595154922,3.91088544508124,1.22884536972219,1.10922285747167,4.69127596508393,4.30875734862729,TRUE,TRUE,TRUE,TRUE
20260506,500,30,25,2,0.5,0.2,0.035,0.00580409338312195,5.91871938506223,481,TRUE,FALSE,0.129943194443791,9.70962681526063e-09,0.0024146614941946,0.000369256489224892,4.72712979566311,4.38913647907503,11,11,0.234520787991171,20.1565491748265,18.7153408304268,1.17260393995586,4.0313098349653,3.74306816608535,3.91088544508124,1.20871088198415,1.12228714972853,4.69127596508393,4.30875734862729,TRUE,TRUE,TRUE,TRUE
